no,nama,kota,provinsi
No,Pelabuhan,Kabupaten-Kota,Propinsi
1,Sinabang,SIMEULUE,NAD
2,P. Banyak,ACEH SINGKIL,NAD
3,Singkil,ACEH SINGKIL,NAD
4,Labuhan Haji,ACEH SELATAN,NAD
5,Meulaboh,ACEH BARAT,NAD
6,Malahayati,ACEH BESAR,NAD
7,Ulee Lheue,BANDA ACEH,NAD
8,Balohan,SABANG,NAD
9,Gn. Sitoli,NIAS,SUMUT
10,Ajibata,SIMALUNGUN,SUMUT
11,Prapat,SIMALUNGUN,SUMUT
12,Sibolga,SIBOLGA,SUMUT
13,Belawan (Ujung baru),MEDAN,SUMUT
14,P. Siberut,KEPULAUAN MENTAWAI,SUMBAR
15,Sikakap,KEPULAUAN MENTAWAI,SUMBAR
16,Tua Pejat,KEPULAUAN MENTAWAI,SUMBAR
17,Padang,PADANG,SUMBAR
18,Mumpa,INDRAGIRI HILIR,RIAU
19,Rumbai Jaya,INDRAGIRI HILIR,RIAU
20,Mengkapan,S I A K,RIAU
21,Bengkalis,BENGKALIS,RIAU
22,Sungai Pakning,BENGKALIS,RIAU
23,Kuala Tungkal,TANJUNG JABUNG BARAT,JAMBI
24,Betung Berdarah,TEBO,JAMBI
25,Desa Pintas,TEBO,JAMBI
26,Kuamang Kuning,TEBO,JAMBI
27,Muara Tebo,TEBO,JAMBI
28,Palembang,PALEMBANG,SUMSEL
29,P. Enggano,BENGKULU UTARA,BENGKULU
30,Pulai Bai,BENGKULU,BENGKULU
31,Bakauheni,LAMPUNG SELATAN,LAMPUNG
32,Panjang,BANDAR LAMPUNG,LAMPUNG
33,Srengsem,BANDAR LAMPUNG,LAMPUNG
34,Tanjung Pandan,BELITUNG,KEP.BANGBEL
35,Tanjung Ru,BELITUNG,KEP.BANGBEL
36,Kayu Arang,BANGKA BARAT,KEP.BANGBEL
37,Muntok (Tanjung Kalian),BANGKA BARAT,KEP.BANGBEL
38,P. Lepar,BANGKA SELATAN,KEP.BANGBEL
39,Sadai,BANGKA SELATAN,KEP.BANGBEL
40,Toboali,BANGKA SELATAN,KEP.BANGBEL
41,Manggar,BELITUNG TIMUR,KEP.BANGBEL
42,Pangkal Pinang,PANGKAL PINANG,KEP.BANGBEL
43,Tanjung Balai,KARIMUN,KEPRI
44,Tanjung Uban,BINTAN,KEPRI
45,Batam Center,B A T A M,KEPRI
46,Telaga Punggur,B A T A M,KEPRI
47,P. Kelapa,KEPULAUAN SERIBU,DKI JAKARTA
48,P. Pramuka,KEPULAUAN SERIBU,DKI JAKARTA
49,P. Tidung,KEPULAUAN SERIBU,DKI JAKARTA
50,P. Untung Jawa,KEPULAUAN SERIBU,DKI JAKARTA
51,Jakarta (Muara Angke),JAKARTA UTARA,DKI JAKARTA
52,Marina Ancol,JAKARTA UTARA,DKI JAKARTA
53,Majingklak,CIAMIS,JAWA BARAT
54,Cilacap,CILACAP,JAWA TENGAH
55,Kalipucang,CILACAP,JAWA TENGAH
56,Jepara,JEPARA,JAWA TENGAH
57,Karimunjawa,JEPARA,JAWA TENGAH
58,Kendal,KENDAL,JAWA TENGAH
59,Semarang,SEMARANG,JAWA TENGAH
60,Ketapang,BANYUWANGI,JAWA TIMUR
61,Jangkar,SITUBONDO,JAWA TIMUR
62,Bawean,GRESIK,JAWA TIMUR
63,Gresik,GRESIK,JAWA TIMUR
64,Kamal,BANGKALAN,JAWA TIMUR
65,Kalianget,SUMENEP,JAWA TIMUR
66,P. Kangean,SUMENEP,JAWA TIMUR
67,Ujung,SURABAYA,JAWA TIMUR
68,Ciwandan,CILEGON,BANTEN
69,Merak,CILEGON,BANTEN
70,Gilimanuk,JEMBRANA,BALI
71,Padang Bai,KARANG ASEM,BALI
72,Benoa,DENPASAR,BALI
73,Lembar,LOMBOK BARAT,NTB
74,Senggigi,LOMBOK BARAT,NTB
75,Kayangan,LOMBOK TIMUR,NTB
76,Sape,BIMA,NTB
